Business Name,Business Open or Closed?,Delivery/Take Out Only/Online Sales,Business Address,Business Phone Number,Business Website,Business Facebook Page,Business Twitter Page,Business Instagram Page,Last Modified Date/Time,Address,Latitude,Longitude,Accuracy Score,Accuracy Type,Zip,Source
Christopher's,Closed,Online Sales,1920 Mass. Ave.,NA,https://christopherscambridge.com/,https://www.facebook.com/christophersrestaurantcambridge,https://twitter.com/TheChris1920,https://www.instagram.com/christopherscambridge/,2020-03-23T12:21:31Z,1920 Massachusetts Ave,42.389053,-71.119952,1,rooftop,02140,City of Cambridge
Chutney's,Open,"Delivery
Take Out",36 JFK St,617-491-2545,https://www.chutneyscambridge.com/,NA,NA,NA,2020-04-19T11:14:22Z,36 JFK St,42.372747,-71.119871,1,rooftop,02138,City of Cambridge
Cilantro Chinese Cuisine,Open,"Delivery
Take Out",1105 Mass. Ave.,(617) 945-1768,https://www.cilantrochinesecuisine.com/,NA,NA,NA,2020-04-19T11:14:22Z,1105 Massachusetts Ave,42.370652,-71.11342,1,rooftop,02138,City of Cambridge
Circle Furniture,Closed,Online Sales,199 Alewife Brook Parkway,NA,https://www.circlefurniture.com/,NA,NA,NA,2020-03-23T12:21:31Z,199 Alewife Brook Parkway,42.390145,-71.142729,1,rooftop,02138,City of Cambridge
City Express,Closed,NA,1695 Massachusetts Ave.,NA,NA,NA,NA,NA,2020-04-10T07:51:33Z,1695 Massachusetts Ave.,42.382942,-71.119418,1,rooftop,02138,City of Cambridge
City Express Dry Cleaners,Open,NA,428 Massachusetts Ave,(617) 354-9658,NA,NA,NA,NA,2020-03-22T11:59:14Z,428 Massachusetts Ave,42.363443,-71.100727,1,rooftop,02139,City of Cambridge
City Liquors,Open,NA,616 Cambridge St,(617) 945-0095,https://www.facebook.com/pages/City-Liquors/401080673395829,NA,https://twitter.com/CityLiquorsMA,NA,2020-03-22T09:07:13Z,616 Cambridge St,42.371794,-71.08656,1,rooftop,02141,City of Cambridge
City Market,Closed,NA,1695 Mass. Ave.,(617) 492-9600,NA,NA,NA,NA,2020-04-11T17:10:05Z,1695 Massachusetts Ave,42.382942,-71.119418,1,rooftop,02138,City of Cambridge
City Paint,Open,NA,1149 Cambridge Street,617.547.0050,https://www.city-paint.com/,https://www.facebook.com/citypaintandsupply,NA,NA,2020-03-21T21:40:19Z,1149 Cambridge Street,42.373241,-71.096306,1,rooftop,02139,City of Cambridge
City Paint & Supply,Open,NA,2564 Mass Ave.,(617) 547-7290,https://city-paint.com/,https://www.facebook.com/citypaintandsupply,NA,NA,2020-03-22T17:42:44Z,2564 Massachusetts Ave,42.400124,-71.134534,1,rooftop,02140,City of Cambridge
City Smoke Shop,Closed,NA,NA,(857) 500-3027,NA,NA,NA,NA,2020-03-23T14:31:13Z,NA,NA,NA,NA,NA,NA,NA
Classic Graphx,Open,"Delivery
Take Out",678 Massachusetts Ave,postbox@classicgraphx.com,https://www.classicgraphx.com/,NA,NA,NA,2020-04-10T09:37:17Z,678 Massachusetts Ave,42.365637,-71.10443,1,rooftop,02139,City of Cambridge
Cleenland,Open,NA,89A Norfolk St.,857-228-4595,https://www.cleenland.com/,https://www.facebook.com/cleenland,NA,https://www.instagram.com/cleenland/,2020-03-29T16:39:40Z,89A Norfolk St.,42.366401,-71.100591,0.9,rooftop,02139,City of Cambridge
Clevergreen Cleaners,Open,NA,314 Third Street,617-225-2061,http://www.clevergreencleaners.com/portfolio/clevergreen-cleaners-kendall-square/,https://www.facebook.com/clevergreencleaners/,https://twitter.com/clevergreenma?lang=en,https://www.instagram.com/clevergreencleaners/,2020-03-21T19:19:16Z,314 Third Street,42.364987,-71.082666,1,rooftop,02141,City of Cambridge
Clipmates Hair Studio,Closed,NA,141 Hampshire Street,NA,https://www.clipmateshairstudio.com/?fbclid=IwAR0-2ipMyCjfqLvn-OV08i6M7d87tMDKUgrJIzFElJqCcyetzv1gbJvAwKU,https://www.facebook.com/clipmateshairstudio/?ref=py_c,NA,https://www.instagram.com/clipmateshairstudio/,2020-03-21T21:14:56Z,141 Hampshire Street,42.371029,-71.097108,1,rooftop,02139,City of Cambridge
Clothware,Closed,NA,1773 Mass. Ave.,NA,http://www.clothware.com/,https://www.facebook.com/Clothware,NA,NA,2020-03-22T20:10:30Z,1773 Massachusetts Ave,42.385494,-71.119113,1,rooftop,02140,City of Cambridge
Clover - Central,Closed,NA,496 Mass. Ave,NA,NA,NA,NA,NA,2020-03-21T19:19:16Z,496 Massachusetts Ave,42.364005,-71.101651,1,rooftop,02139,City of Cambridge
Clover - Harvard,Closed,NA,1326 Mass. Ave.,NA,NA,NA,NA,NA,2020-03-21T19:19:16Z,1326 Massachusetts Ave,42.37299,-71.117865,1,rooftop,02138,City of Cambridge
Clover - HQ,Closed,NA,1075 Cambridge St,NA,NA,NA,NA,NA,2020-03-21T19:19:16Z,1075 Cambridge St,42.373091,-71.095179,1,rooftop,02139,City of Cambridge
Clover - Kendall,Closed,NA,5 Cambridge Center,NA,https://www.cloverfoodlab.com/,https://www.facebook.com/cloverfoodlab/,https://twitter.com/cloverfoodlab?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/cloverfoodlab/?hl=en,2020-03-21T19:19:16Z,5 Cambridge Center,42.362839,-71.087465,1,rooftop,02142,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
Club Passim,Closed,Online Sales,47 Palmer St,NA,https://www.passim.org/,https://www.facebook.com/clubpassim,https://twitter.com/clubpassim,https://www.instagram.com/clubpassim/,2020-03-23T15:07:17Z,47 Palmer St,42.374298,-71.120078,1,rooftop,02138,City of Cambridge
Coast Cafe,Open,"Delivery
Take Out",233 River Street,NA,http://www.coastsoulcafe.com/,https://www.facebook.com/thecoastcafe/,NA,NA,2020-03-23T12:21:31Z,233 River Street,42.363012,-71.111597,1,rooftop,02139,City of Cambridge
Colette,Closed,Online Sales,1924 Mass. Ave.,NA,https://colette1924.com/,https://www.facebook.com/colette1924/,NA,https://www.instagram.com/colette1924/,2020-03-23T12:21:31Z,1924 Massachusetts Ave,42.389356,-71.120246,1,rooftop,02140,City of Cambridge
Columbia Market,Open,NA,151 Columbia St.,(617) 945-9655,NA,NA,NA,NA,2020-04-23T12:06:50Z,151 Columbia St.,42.366959,-71.097986,1,rooftop,02139,City of Cambridge
Commonwealth Cambridge,Closed,Online Sales,11 Broad Canal Way,NA,http://commonwealthcambridge.com/,NA,NA,NA,2020-03-23T12:21:31Z,11 Broad Canal Way,42.363273,-71.082565,1,rooftop,02141,City of Cambridge
Coolidge Cleaners,Open,NA,746 Massachusetts Ave.,(617) 354-8808,NA,NA,NA,NA,2020-03-22T10:50:32Z,746 Massachusetts Ave.,42.366139,-71.105275,1,rooftop,02139,City of Cambridge
Corbu Spa and Salon,Closed,NA,1 Bennett St.,NA,https://www.corbuspa.com/,NA,NA,NA,2020-03-23T16:35:27Z,1 Bennett St.,42.371992,-71.122511,1,rooftop,02138,City of Cambridge
Corozon de Frida Mexican Cantina,Open,"Delivery
Take Out",1287 Cambridge Street,617- 714-3874,https://corazondefridacantina.com/?fbclid=IwAR1IpgVJ8Qe82N8LJnEcfgPmLmM9KiM_kP9h8_25APBhl_XgOSYbc8bBX4Q,https://www.facebook.com/CorazonDeFridaCantina/,NA,NA,2020-03-23T12:21:31Z,1287 Cambridge Street,42.373589,-71.098943,1,rooftop,02139,City of Cambridge
Court Cleaners,Closed,NA,247 Cambridge St,(617) 252-0922,NA,NA,NA,NA,2020-04-11T17:21:17Z,247 Cambridge St,42.371166,-71.080122,1,rooftop,02141,City of Cambridge
Courthouse Fish Market,Closed,NA,494A Cambridge St,617-876-6716,http://www.courthouseseafood.com/,NA,NA,NA,2020-04-11T17:21:17Z,494A Cambridge St,42.371529,-71.084489,0.9,rooftop,02141,City of Cambridge
Courthouse Seafood Restaurant,Closed,NA,498 Cambridge St,617-491-1213,http://www.courthouseseafood.com/,NA,NA,NA,2020-04-11T17:21:17Z,498 Cambridge St,42.371538,-71.084578,1,rooftop,02141,City of Cambridge
Craigie on Main,Open,Take Out,853 Main St,(617) 497-5511,https://www.craigieonmain.com/,NA,https://twitter.com/craigieonmain?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/craigieonmain/?hl=en,2020-03-23T12:21:31Z,853 Main St,42.36346,-71.09866,1,rooftop,02139,City of Cambridge
Creat Escape Too,Closed,NA,368 Huron Ave.,617-354-9009,http://www.crate-escape.com/,https://www.facebook.com/CrateEscape2/,NA,NA,2020-03-22T08:35:26Z,368 Huron Ave.,42.381032,-71.139,1,rooftop,02138,City of Cambridge
Crimson Bikes,Open,Online Sales,1001 Massachusetts Ave,617-958-1727,https://www.crimsonbikes.com/,https://www.facebook.com/CrimsonBikes,https://twitter.com/CrimsonBikes,https://www.instagram.com/crimsonbikes/,2020-03-23T14:31:13Z,1001 Massachusetts Ave,42.369487,-71.111341,1,rooftop,02138,City of Cambridge
Crimson Corner,Closed,Online Sales,35 Brattle St,NA,https://crimsoncornerharvardsquare.com/,NA,NA,NA,2020-03-23T14:39:21Z,35 Brattle St,42.373564,-71.120963,1,rooftop,02138,City of Cambridge
Cuchi Cuchi,Closed,NA,795 Main St,NA,https://cuchicuchi.cc/,https://www.facebook.com/CuchiCuchiRestaurant/,NA,NA,2020-03-22T12:03:40Z,795 Main St,42.363346,-71.097131,1,rooftop,02139,City of Cambridge
Culture House - Harvard,Closed,NA,0 Harvard Square,NA,https://culturehouse.cc/,https://www.facebook.com/culturehousebos/,https://twitter.com/culturehousebos?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/culturehousebos/?hl=en,2020-03-21T19:19:16Z,0 Harvard Square,42.373506,-71.119272,0.33,place,02138,TIGER/Line® dataset from the US Census Bureau
Culture House Kendall,Closed,NA,501 Kendall St.,NA,https://culturehouse.cc/,https://www.facebook.com/culturehousebos/,https://twitter.com/culturehousebos?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/culturehousebos/?hl=en,2020-03-21T19:19:16Z,501 Kendall St.,42.363962,-71.081698,0.72,nearest_rooftop_match,02142,City of Cambridge
Curio Coffee and Wine,Open,Take Out,441 Cambridge St,(857) 242-3018,NA,https://www.facebook.com/curiocoffee/,NA,https://www.instagram.com/curiocoffee/?hl=en,2020-03-23T12:21:31Z,441 Cambridge St,42.371604,-71.083603,1,rooftop,02141,City of Cambridge
Curio Spice,Closed,Online Sales,2265 Mass. Ave.,NA,https://www.curiospice.com/,https://www.facebook.com/curiospice/?fref=ts,NA,https://www.instagram.com/curiospice/?hl=en,2020-03-23T12:21:31Z,2265 Massachusetts Ave,42.394424,-71.126715,1,range_interpolation,02140,TIGER/Line® dataset from the US Census Bureau
Custom Barber Shop,Closed,NA,NA,NA,NA,NA,NA,NA,2020-03-22T21:21:09Z,NA,NA,NA,NA,NA,NA,NA
Custom Eyes,Closed,NA,50 Prospect St,NA,https://customeyescorp.net/,NA,NA,NA,2020-04-05T17:54:28Z,50 Prospect St,42.366243,-71.103146,1,rooftop,02139,City of Cambridge
CVS,Open,NA,225 Cambridge St,NA,https://www.cvs.com/store-locator/cvs-pharmacy-address/225+Cambridge+Street-Cambridge-MA-02141/storeid=10891,NA,NA,NA,2020-03-21T21:57:54Z,225 Cambridge St,42.371105,-71.079675,1,rooftop,02141,City of Cambridge
CW Taekwondo at Boston,Closed,Online Sales,285 Green St,NA,https://www.cwtkd.com/,https://www.facebook.com/CWTaekwondoBoston,NA,https://www.instagram.com/cwtaekwondo,2020-03-29T14:12:15Z,285 Green St,42.365014,-71.104267,1,range_interpolation,02139,TIGER/Line® dataset from the US Census Bureau
CWK at Kendall,Closed,NA,300B Athenaeum Street,NA,http://www.commonwealthkitchen.org/cwk-at-kendall,NA,NA,NA,2020-03-21T19:19:16Z,300B Athenaeum Street,42.364351,-71.081484,0.9,rooftop,02142,City of Cambridge
Dado Tea,Open,Take Out,955 Mass Ave. only,NA,http://www.dadotea.com/,NA,NA,NA,2020-03-27T10:39:15Z,955 Massachusetts Ave only,42.369028,-71.109926,1,rooftop,02139,City of Cambridge
Daedalus,Closed,NA,45.5 My. Auburn St,NA,https://www.daedalusrestaurantcambridge.com/,https://www.facebook.com/daedalusrestaurant/,NA,https://www.instagram.com/daedaluscambridge/,2020-03-23T08:55:19Z,45.5 Mount Auburn St,42.371252,-71.116585,0.33,place,02138,TIGER/Line® dataset from the US Census Bureau
Dana Hill Liquors,Open,Delivery,910 Mass. Ave.,617-547-6199,NA,https://www.facebook.com/danahillliquormart/?rf=153717621308263,https://twitter.com/danahillliquors?lang=en,NA,2020-03-23T12:21:31Z,910 Massachusetts Ave,42.368282,-71.108784,1,rooftop,02139,City of Cambridge
Dance Complex,Closed,Online Sales,536 Massachusetts Ave.,NA,https://www.dancecomplex.org/,NA,NA,NA,2020-04-08T09:45:23Z,536 Massachusetts Ave.,42.364318,-71.102196,1,rooftop,02139,City of Cambridge
Daniel R. Spirer Jewelers,Closed,Online Sales,1780 Mass. Ave.,(617) 234-4392,https://spirerjewelers.com/,NA,NA,NA,2020-04-11T10:02:32Z,1780 Massachusetts Ave,42.385814,-71.119481,1,rooftop,02140,City of Cambridge
Dante,Closed,Online Sales,40 Edwin Land Blvd,NA,https://restaurantdante.com/,NA,NA,https://www.instagram.com/restaurant_dante/,2020-03-23T12:21:31Z,40 Edwin Land Blvd,42.366789,-71.075076,0.33,place,02138,TIGER/Line® dataset from the US Census Bureau
Darul Kabab,Open,"Delivery
Take Out",2072 Mass Ave,(617) 354-4010,http://www.darulkabab.com/,NA,NA,NA,2020-04-05T18:05:03Z,2072 Massachusetts Ave,42.39118,-71.123205,1,rooftop,02140,City of Cambridge
Darwin's Ltd.,Open,"Delivery
Take Out",All locations,NA,https://www.darwinsltd.com/,https://www.facebook.com/darwinsltd1,NA,https://www.instagram.com/darwinsltd/,2020-03-23T12:21:31Z,NA,NA,NA,NA,NA,NA,NA
David's Shoes on First,Closed,NA,75 First Street,(617) 354-3730,NA,https://www.facebook.com/DavidsShoesOnFirst/,NA,NA,2020-04-05T18:05:03Z,75 First Street,42.368378,-71.077582,1,rooftop,02141,City of Cambridge
Dazzling Nail Care,Closed,NA,2327 Mass. Ave.,(617) 661-4734,http://www.dazzlingnailcambridge.com/,NA,NA,NA,2020-03-22T18:43:40Z,2327 Massachusetts Ave,42.395908,-71.128316,1,rooftop,02140,City of Cambridge
Desfina Restaurant,Open,"Delivery
Take Out",202 Third Street,617-868-9098,https://desfina-restaurant.mxstorefront.com/,https://www.facebook.com/pages/category/Greek-Restaurant/Desfina-Restaurant-1553362881378769/,NA,NA,2020-03-23T12:21:31Z,202 Third Street,42.367592,-71.08107,1,rooftop,02141,City of Cambridge
Desi Dhaba,Open,"Delivery
Take Out",401 Massachusetts Ave.,(617) 547-4121,https://www.cambridgedesidhaba.net/,NA,NA,NA,2020-03-23T12:21:31Z,401 Massachusetts Ave.,42.363572,-71.099948,1,rooftop,02139,City of Cambridge
Diaper Lab,Open,"Online Sales
Take Out",200 Elm Street North,617) 764-0192,www.diaperlab.com,NA,NA,NA,2020-04-20T16:33:58Z,200 Elm Street North,42.393354,-71.12074,1,range_interpolation,02140,TIGER/Line® dataset from the US Census Bureau
Dickson Brothers True Value,Open,NA,26 Brattle St,(617) 876-6760,http://dicksonbros.com/,https://www.facebook.com/DicksonBrothers/,NA,NA,2020-03-23T08:59:51Z,26 Brattle St,42.373212,-71.12044,1,rooftop,02138,City of Cambridge
Dig,Open,Delivery,82 Mt. Auburn St,617-904-4340,https://www.diginn.com/,NA,NA,NA,2020-03-23T12:21:31Z,82 Mt. Auburn St,42.372258,-71.119537,1,rooftop,02138,City of Cambridge
Dimi's Place,Open,Take Out,272 Brookline St.,NA,http://dimisplace.com/,NA,NA,NA,2020-04-19T11:17:21Z,272 Brookline St.,42.357391,-71.107873,1,rooftop,02139,City of Cambridge
Domino's Pizza,Open,"Delivery
Online Sales
Take Out",1033 Massachusetts Ave.,617-441-2101,www.dominos.com,NA,NA,NA,2020-03-31T13:35:41Z,1033 Massachusetts Ave.,42.369706,-71.11193,1,rooftop,02138,City of Cambridge
Dosa Factory,Open,"Delivery
Take Out",571 Massachusetts Ave.,NA,http://www.dosa-factory.com/,https://www.facebook.com/DosaFactory/,NA,NA,2020-03-23T12:21:31Z,571 Massachusetts Ave.,42.364878,-71.102516,1,rooftop,02139,City of Cambridge
Down Under School Yoga,Closed,NA,2000 Mass. Ave.,NA,https://www.downunderyoga.com/cambridge-yoga-studio,https://www.facebook.com/DownUnderYoga/?ref=hl,NA,https://www.instagram.com/downunderyoga/,2020-03-22T17:08:33Z,2000 Massachusetts Ave,42.390347,-71.121412,1,rooftop,02140,City of Cambridge
Dress Code Cleaners,Closed,NA,276 Broadway,(617) 876-5636,NA,NA,NA,NA,2020-04-23T12:06:50Z,276 Broadway,42.367868,-71.097592,1,rooftop,02139,City of Cambridge
Drinkwater's,Closed,NA,2067 Mass. Ave.,617.547.2067,https://drinkwaterscambridge.com/,https://www.facebook.com/groups/Drinkwaters/about/,https://twitter.com/GaryDrinkwater,https://www.instagram.com/drinkwaterscambridge/?hl=en,2020-04-05T18:05:03Z,2067 Massachusetts Ave,42.391478,-71.123102,1,rooftop,02140,City of Cambridge
Druid,Closed,NA,1357 Cambridge Street,NA,https://www.druidpub.com/,https://www.facebook.com/TheDruidCambridge/,NA,https://www.instagram.com/druidpubcambridge/,2020-03-23T14:14:50Z,1357 Cambridge Street,42.373746,-71.100144,1,rooftop,02139,City of Cambridge
Dudley 1 Hour Dry Cleaners,Open,NA,2370 Mass. Ave.,(617) 576-1899,NA,NA,NA,NA,2020-03-22T18:35:12Z,2370 Massachusetts Ave,42.396557,-71.129601,1,range_interpolation,02140,TIGER/Line® dataset from the US Census Bureau
Dumpling Daughter,Closed,NA,73 Ames Street,617-557-8886,https://www.dumplingdaughter.com/,https://www.facebook.com/dumplingdaughter/,https://twitter.com/ddaughterboston?lang=en,https://www.instagram.com/dumplingdaughter/,2020-03-21T19:29:51Z,73 Ames Street,42.363315,-71.088151,1,rooftop,02142,City of Cambridge
Dumpling House,Open,"Delivery
Take Out",950 Massachusetts Ave,(617) 661-8066,https://www.dumplinghousecambridgema.com/,NA,NA,NA,2020-04-05T18:05:03Z,950 Massachusetts Ave,42.36861,-71.110146,1,rooftop,02139,City of Cambridge
Dunkin Donuts,Open,Take Out,One Broadway,617-945-9627,https://www.dunkindonuts.com/en,NA,NA,NA,2020-03-23T12:24:04Z,One Broadway,42.380442,-71.132947,1,place,02138,TIGER/Line® dataset from the US Census Bureau
Dunkin Donuts,Open,Take Out,222 Broadway,617-868-0259,https://www.dunkindonuts.com/en,NA,NA,NA,2020-03-23T12:24:04Z,222 Broadway,42.366463,-71.094031,1,rooftop,02139,City of Cambridge
Dunkin Donuts,Closed,NA,Porter Square Shopping Mall,(617) 354-8336,https://www.dunkindonuts.com/en/locations,NA,NA,NA,2020-04-11T16:41:27Z,Porter Square Shopping Mall,42.38891,-71.119316,1,street_center,02140,TIGER/Line® dataset from the US Census Bureau
Dunkin Donuts,Open,Take Out,2480 Mass. Ave.,NA,https://www.dunkindonuts.com/en/locations?location=02140,NA,NA,NA,2020-03-23T12:24:04Z,2480 Massachusetts Ave,42.398662,-71.132025,1,rooftop,02140,City of Cambridge
Dunkin Donuts,Open,Take Out,616 Mass Ave.,NA,https://www.dunkindonuts.com/en/locations,NA,NA,NA,2020-03-23T12:29:51Z,616 Massachusetts Ave,42.365001,-71.103349,1,rooftop,02139,City of Cambridge
Dunkin Donuts,Open,Take Out,1001 Mass. Ave.,(617) 714-4242,https://www.dunkindonuts.com/en/locations,NA,NA,NA,2020-03-23T12:29:51Z,1001 Massachusetts Ave,42.369487,-71.111341,1,rooftop,02138,City of Cambridge
East Coast Barber Shop,Closed,NA,261 Cambridge St,NA,http://www.eastcoastbarbershop.com/,https://www.facebook.com/EastCoast-Barbershop-447073771969643/,NA,NA,2020-03-22T09:16:22Z,261 Cambridge St,42.371188,-71.080296,1,rooftop,02141,City of Cambridge
East Side Bar and Grille,Closed,NA,561 Cambridge St,(617) 661-3278,https://www.eastsidebarandgrille.com/,https://www.facebook.com/EastSideBarAndGrille/,NA,NA,2020-04-05T18:05:03Z,561 Cambridge St,42.371852,-71.085573,1,rooftop,02141,City of Cambridge
Easy Chairs Antiques,Closed,NA,375 Huron Ave.,(617) 491-2131,http://leejosephauctions.com/,NA,NA,NA,2020-04-07T20:04:22Z,375 Huron Ave.,42.381233,-71.139009,1,rooftop,02138,City of Cambridge
ED Simmons/All State Insurance Agency/Cambridgeport Insurance Agency,Open,NA,PO Box 390148,617-491-0872,NA,NA,NA,NA,2020-04-09T15:22:46Z,PO Box 390148,42.380442,-71.132947,1,place,02138,TIGER/Line® dataset from the US Census Bureau
EH Chocolatier,Closed,"Delivery
Online Sales",145 Huron Ave,617.284.6096,https://www.ehchocolatier.com/,https://www.facebook.com/EHChocolatier,https://twitter.com/EHChocolatier,https://www.instagram.com/ehchocolatier/,2020-03-30T18:40:36Z,145 Huron Ave,42.382775,-71.130702,1,rooftop,02138,City of Cambridge
El Jefe's Taqueria,Open,"Delivery
Take Out",83 Mt. Auburn St,617.945.1986,https://www.eljefestaqueria.com/,NA,NA,NA,2020-03-23T12:29:51Z,83 Mt. Auburn St,42.372497,-71.119736,1,rooftop,02138,City of Cambridge
Elegant Tailor & Cleaners,Open,NA,1687 Mass. Ave,(617) 547-3804,NA,NA,NA,NA,2020-03-22T20:58:54Z,1687 Massachusetts Ave,42.382765,-71.119437,1,rooftop,02138,City of Cambridge
Elia's Hair Care,Closed,NA,319 Massachusetts Ave,(617) 497-1590,NA,NA,NA,NA,2020-03-22T12:16:14Z,319 Massachusetts Ave,42.362489,-71.098521,1,rooftop,02139,City of Cambridge
Eliot Street Cafe/Dunkin Donuts,Open,"Take Out
Yes",65 JFK St.,NA,https://www.harvardsquare.com/venue/eliot-st-cafe-dunkin-donuts-2/,NA,NA,NA,2020-03-23T12:29:51Z,65 JFK St.,42.371686,-71.121059,1,rooftop,02138,City of Cambridge
Elite Barbershop,Closed,NA,2384 Mass. Ave.,NA,https://website-7435912308091098863-barbershop.business.site/?utm_source=gmb&utm_medium=referral,https://www.facebook.com/pages/category/Barber-Shop/Elite-Barbershop-148190978571481/,NA,NA,2020-03-22T18:19:07Z,2384 Massachusetts Ave,42.396885,-71.129896,1,rooftop,02140,City of Cambridge
Elmendorf Baking Supplies and Café,Open,"Delivery
Take Out",594 Cambridge St,​617-945-0045,http://www.elmendorfbaking.com/,https://www.facebook.com/elmendorfsupplies,NA,https://www.instagram.com/elmendorfbaking/,2020-04-10T08:51:20Z,594 Cambridge St,42.371758,-71.086286,1,rooftop,02141,City of Cambridge
Emack & Bolio's,Closed,NA,Porter Square Shopping Mall,NA,https://emackandbolios.com/,NA,NA,NA,2020-03-22T16:25:55Z,Porter Square Shopping Mall,42.38891,-71.119316,1,street_center,02140,TIGER/Line® dataset from the US Census Bureau
Esmeralda,Closed,Online Sales,54 Church St.,(617) 661-0900,https://www.esmeraldastore.com/,NA,NA,NA,2020-03-23T12:29:51Z,54 Church St.,42.37411,-71.120907,1,rooftop,02138,City of Cambridge
Estetika Spa,Closed,NA,370 Huron Ave.,617-864-0401,http://www.estetikaspa.com/,NA,NA,NA,2020-03-21T22:32:14Z,370 Huron Ave.,42.381006,-71.139136,1,rooftop,02138,City of Cambridge
Euphoria Babershop,Closed,NA,766B Cambridge St,(617) 945-1137,https://www.euphoriabarbers.com/,https://www.facebook.com/euphoriabarbers/,NA,NA,2020-03-22T09:16:22Z,766B Cambridge St,42.372176,-71.089561,0.9,rooftop,02141,City of Cambridge
European Wax Center,Closed,NA,1868 Mass. Ave.,NA,https://www.waxcenter.com/ma-cambridge-porter-square,NA,NA,NA,2020-03-22T16:25:55Z,1868 Massachusetts Ave,42.388084,-71.119575,1,rooftop,02140,City of Cambridge
Evolve Fitness,Closed,NA,52 New Street,NA,https://evolvefitnessinc.com/,NA,NA,NA,2020-03-22T13:02:11Z,52 New Street,42.387969,-71.139936,1,rooftop,02138,City of Cambridge
EVOO,Closed,NA,350 Third Street,617-661-3866,https://evoorestaurant.com/,https://www.facebook.com/evoocambridge/,https://twitter.com/EVOOrestaurant,NA,2020-03-21T19:29:51Z,350 Third Street,42.363684,-71.083354,1,rooftop,02141,City of Cambridge
Eye Q,Closed,NA,12 Eliot St.,NA,http://www.eye-q-optical.com/,https://www.facebook.com/EyeQOpticalBoston,NA,https://www.instagram.com/eye_q_optical/,2020-03-23T16:28:45Z,12 Eliot St.,42.372361,-71.121618,1,rooftop,02138,City of Cambridge
Falafel Corner,Open,"Delivery
Take Out",8 Eliot St.,NA,https://www.falafelcornerboston.com/,NA,NA,NA,2020-03-23T16:12:37Z,8 Eliot St.,42.372581,-71.12151,1,rooftop,02138,City of Cambridge
Family Nail and Spa,Closed,NA,746 Cambridge St,(617) 945-1515,NA,https://www.facebook.com/pages/category/Nail-Salon/Family-NAILS-SPA-1625914291013733/,NA,NA,2020-03-22T09:16:22Z,746 Cambridge St,42.372148,-71.089349,1,rooftop,02141,City of Cambridge
Famous Cutz,Closed,NA,444 Cambridge St,NA,NA,https://www.facebook.com/pages/Famous-Cuts/124247000956372,NA,NA,2020-03-21T21:57:54Z,444 Cambridge St,42.371422,-71.083654,1,rooftop,02141,City of Cambridge
Faron Salon,Closed,NA,1784 Mass. Ave.,NA,NA,NA,NA,NA,2020-03-22T19:59:33Z,1784 Massachusetts Ave,42.385911,-71.119471,1,rooftop,02140,City of Cambridge
Fast Phil's Haircuts,Closed,NA,2528 Mass Ave.,(617) 354-4666,NA,https://www.facebook.com/Fast-Phils-149963918362407/,NA,NA,2020-03-22T17:47:01Z,2528 Massachusetts Ave,42.399605,-71.133405,1,rooftop,02140,City of Cambridge
Felipe's Taqueria,Open,"Delivery
Take Out",21 Brattle St.,(617) 354-9944,https://www.felipestaqueria.com/locations/cambridge/,NA,NA,NA,2020-03-23T12:29:51Z,21 Brattle St.,42.373454,-71.120491,1,rooftop,02138,City of Cambridge
Felix Shoe Repair,Closed,NA,1304 Mass Ave,NA,NA,NA,NA,NA,2020-03-23T14:31:13Z,1304 Massachusetts Ave,42.372857,-71.117368,1,rooftop,02138,City of Cambridge
Fernandes Market,Open,NA,875 Cambridge St,(617) 492-5270,NA,https://www.facebook.com/pages/category/Convenience-Store/Pires-Market-428836680554382/,NA,NA,2020-04-05T18:11:39Z,875 Cambridge St,42.372612,-71.091413,1,rooftop,02141,City of Cambridge
Ferro's Foodtown,Open,NA,NA,(617) 354-2620,NA,NA,NA,NA,2020-03-22T13:55:56Z,NA,NA,NA,NA,NA,NA,NA
Field Pub,Closed,NA,20 Prospect St,NA,NA,https://www.facebook.com/pages/category/Irish-Restaurant/The-Field-Pub-489870384393810/,NA,NA,2020-03-23T14:14:50Z,20 Prospect St,42.365861,-71.103554,1,rooftop,02139,City of Cambridge
Filomena's Beauty and Hair Salon,Closed,NA,164 Hampshire Street,617-492-2055,http://filomenasbeautysalon.com/,NA,NA,NA,2020-03-21T21:01:51Z,164 Hampshire Street,42.371801,-71.098652,1,rooftop,02139,City of Cambridge
First United Market,Open,NA,271 Brookline St.,(617) 876-5673,NA,NA,NA,NA,2020-04-21T07:57:40Z,271 Brookline St.,42.357469,-71.108052,1,rooftop,02139,City of Cambridge
